Name,Item Number,Type,Room,Price (DKK),Width (cm),Depth (cm),Height (cm)
Vevelstad,005.055.28,Bed,Bedroom,999,146,207,27
Neiden,703.952.39,Bed,Bedroom,599,144,205,65
Slattum,304.463.73,Bed,Bedroom,1499,144,206,85
Brimnes,099.029.34,Bed,Bedroom,2789,248,206,47
Kleppstad,004.926.77,Bed,Bedroom,1099,146,207,86
Malm,299.315.96,Bed,Bedroom,2149,156,209,100
Songesand,192.412.07,Bed,Bedroom,1899,220,207,95
Säbövik,693.857.50,Bed,Bedroom,3299,140,203,92
Idanäs,204.589.41,Bed,Bedroom,3599,170,167,121
Snarum,003.098.91,Bed,Bedroom,1899,140,200,25
Brimnes,404.079.22,Wardrobe,Bedroom,1199,118,51,191
Kleppstad,804.372.34,Wardrobe,Bedroom,799,80,55,176
Pax/Grimo,394.329.70,Wardrobe,Bedroom,4100,200,66,202
Godishus,504.224.94,Wardrobe,Bedroom,699,60,51,178
Vilhatten,705.306.09,Wardrobe,Bedroom,1199,98,55,190
Platsa,394.253.66,Wardrobe,Bedroom,1165,107,42,181
Rakkestad,504.537.58,Wardrobe,Bedroom,849,80,55,160
Gursken,204.863.26,Wardrobe,Bedroom,549,49,55,186
Kullen,003.092.35,Drawer,Bedroom,789,140,40,72
Malm,304.035.71,Drawer,Bedroom,749,80,48,100
Koppang,503.228.47,Drawer,Bedroom,1399,90,44,114
Gursken,004.863.27,Drawer,Bedroom,499,69,38,67
Hauga,004.072.69,Drawer,Bedroom,1699,138,46,84
Nordli,492.394.96,Drawer,Bedroom,2050,160,47,54
Rast,753.057.09,Drawer,Bedroom,399,62,30,70
Hemnes,102.392.80,Drawer,Bedroom,2199,160,50,96
Vihals,304.832.47,Drawer,Bedroom,1299,70,47,120
Idanäs,104.587.10,Drawer,Bedroom,2999,162,50,95
Nissedal,303.203.16,Mirror,Bedroom,249,40,0,150
Svartbjörk,805.171.22,Mirror,Bedroom,249,7,5,7
Lindbyn,204.586.15,Mirror,Bedroom,399,40,0,130
Hovet,705.159.15,Mirror,Bedroom,1149,78,0,196
Toftbyn,704.591.46,Mirror,Bedroom,349,52,0,140
Blodlönn,305.423.79,Mirror,Bedroom,79,30,0,30
Hönefoss,601.820.59,Mirror,Bedroom,179,18,0,21
Råmebo,204.712.64,Mirror,Bedroom,999,75,0,168
Ikornnes,302.983.96,Mirror,Bedroom,999,52,0,167
Enhet,193.224.92,Cabinet,Bathroom,795,30,32,180
Godmorgon,402.810.98,Cabinet,Bathroom,479,40,14,96
Nysjön,204.708.15,Cabinet,Bathroom,629,30,27,190
Lilltjärn,805.003.67,Cabinet,Bathroom,99,44,50,25
Storjorm,402.481.22,Cabinet,Bathroom,1999,60,14,96
Hemnes,702.176.85,Cabinet,Bathroom,1999,49,31,200
Odensvik,201.939.41,Sink,Bathroom,1300,123,49,6
Tvällen,394.430.87,Sink,Bathroom,590,64,43,0
Hörvik,303.589.36,Sink,Bathroom,1000,45,32,12
Oxmyren,304.946.94,Sink,Bathroom,1200,56,35,12
Borsten,404.454.72,Sink,Bathroom,1200,50,40,13
Bråviken,301.955.48,Sink,Bathroom,1100,61,49,10
Bodviken,903.520.69,Sink,Bathroom,1050,41,12,12
Björkån,094.249.81,Sink,Bathroom,375,54,40,0
Kattevik,303.589.41,Sink,Bathroom,1000,7,7,15
Rättviken,902.165.76,Sink,Bathroom,1000,62,49,6
Skatsjön,094.316.08,Sink,Bathroom,515,45,35,0
Törnviken,902.915.18,Sink,Bathroom,750,7,7,14
